CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder
20006000,HUNTERS POINT EXPY,JAMESTOWN AVE,,,,JAMESTOWN AVE intersection,,17212
20006000,JAMESTOWN AVE,HUNTERS POINT EXPY,,,,HUNTERS POINT EXPY intersection,,18505
20010000,JAMESTOWN AVE,GILROY ST,,,,GILROY ST intersection,,18513
20010000,GILROY ST,JAMESTOWN AVE,,,,JAMESTOWN AVE intersection,,14973
20011000,INGERSON AVE,GIANTS DR,,,,GIANTS DR intersection,,18075
20011000,GIANTS DR,INGERSON AVE,,,,INGERSON AVE intersection,,14909
20013000,GILROY ST,IGNACIO AVE,,,,IGNACIO AVE intersection,,14969
20013000,IGNACIO AVE,GILROY ST,,,,GILROY ST intersection,,17868
20034000,DONAHUE ST,CLEO RAND AVE,,,,CLEO RAND AVE intersection,,11624
20034000,CLEO RAND AVE,DONAHUE ST,,,,DONAHUE ST intersection,,9863
20039000,EARL ST,JERROLD AVE,,,,JERROLD AVE intersection,,11949
20039000,JERROLD AVE,EARL ST,,,,EARL ST intersection,,18677
20041000,EARL ST,INNES AVE,,,,INNES AVE intersection,,11972
20041000,INNES AVE,EARL ST,,,,EARL ST intersection,,18098
20044000,DORMITORY RD,JERROLD AVE \ NORTHRIDGE RD,,,,JERROLD AVE \ NORTHRIDGE RD intersection,,11725
20044000,NORTHRIDGE RD,DORMITORY RD \ JERROLD AVE,,,,DORMITORY RD \ JERROLD AVE intersection,,24705
20044000,JERROLD AVE,DORMITORY RD \ NORTHRIDGE RD,,,,DORMITORY RD \ NORTHRIDGE RD intersection,,18703
20046000,KIRKWOOD AVE,DORMITORY RD \ KISKA RD,,,,DORMITORY RD \ KISKA RD intersection,,19719
20046000,DORMITORY RD,KIRKWOOD AVE \ KISKA RD,,,,KIRKWOOD AVE \ KISKA RD intersection,,11727
20046000,KISKA RD,DORMITORY RD \ KIRKWOOD AVE,,,,DORMITORY RD \ KIRKWOOD AVE intersection,,19740
20051000,FITZGERALD AVE,DONAHUE ST,,,,DONAHUE ST intersection,,13332
20051000,DONAHUE ST,FITZGERALD AVE,,,,FITZGERALD AVE intersection,,11612
20056000,ARELIOUS WALKER DR,INNES AVE,,,,INNES AVE intersection,,5265
20056000,INNES AVE,ARELIOUS WALKER DR,,,,ARELIOUS WALKER DR intersection,,18100
20057000,ARELIOUS WALKER DR,HUDSON AVE,,,,HUDSON AVE intersection,,5263
20057000,HUDSON AVE,ARELIOUS WALKER DR,,,,ARELIOUS WALKER DR intersection,,17130
20058000,REARDON RD,KISKA RD,,,,KISKA RD intersection,,27777
20058000,KISKA RD,REARDON RD,,,,REARDON RD intersection,,19742
20060000,NORTHRIDGE RD,HARBOR RD,,,,HARBOR RD intersection,,24707
20060000,HARBOR RD,NORTHRIDGE RD,,,,NORTHRIDGE RD intersection,,16185
20061000,HARBOR RD,INGALLS ST,,,,INGALLS ST intersection,,16187
20061000,INGALLS ST,HARBOR RD,,,,HARBOR RD intersection,,18017
20064000,OAKDALE AVE,BALDWIN CT,,,,BALDWIN CT intersection,,24809
20064000,BALDWIN CT,OAKDALE AVE,,,,OAKDALE AVE intersection,,6041
20065000,GRIFFITH ST,OAKDALE AVE,,,,OAKDALE AVE intersection,,15808
20065000,OAKDALE AVE,GRIFFITH ST,,,,GRIFFITH ST intersection,,24807
20066000,NAVY RD,GRIFFITH ST,,,,GRIFFITH ST intersection,,24231
20066000,GRIFFITH ST,NAVY RD,,,,NAVY RD intersection,,15806
20067000,GRIFFITH ST,REVERE AVE,,,,REVERE AVE intersection,,15816
20067000,REVERE AVE,GRIFFITH ST,,,,GRIFFITH ST intersection,,27856
20070000,THOMAS AVE,GRIFFITH ST,,,,GRIFFITH ST intersection,,31820
20070000,GRIFFITH ST,THOMAS AVE,,,,THOMAS AVE intersection,,15820
20072000,PALOU AVE,CRISP RD,,,,CRISP RD intersection,,25949
20072000,CRISP RD,PALOU AVE,,,,PALOU AVE intersection,,10649
20073000,GRIFFITH ST,PALOU AVE,,,,PALOU AVE intersection,,15812
20073000,PALOU AVE,GRIFFITH ST,,,,GRIFFITH ST intersection,,25947
20074000,QUESADA AVE,CRISP RD,,,,CRISP RD intersection,,27445
20074000,CRISP RD,QUESADA AVE,,,,QUESADA AVE intersection,,10651
20075000,GRIFFITH ST,QUESADA AVE,,,,QUESADA AVE intersection,,15814
20075000,QUESADA AVE,GRIFFITH ST,,,,GRIFFITH ST intersection,,27443
20076000,CRISP RD,REVERE AVE,,,,REVERE AVE intersection,,10653
20076000,REVERE AVE,CRISP RD,,,,CRISP RD intersection,,27858
20077000,KISKA RD,INGALLS ST,,,,INGALLS ST intersection,,19744
20077000,INGALLS ST,KISKA RD,,,,KISKA RD intersection,,18023
20078000,ROSIE LEE LN,INGALLS ST \ NORTHRIDGE RD,,,,INGALLS ST \ NORTHRIDGE RD intersection,,28355
20078000,NORTHRIDGE RD,INGALLS ST \ ROSIE LEE LN,,,,INGALLS ST \ ROSIE LEE LN intersection,,24709
20078000,INGALLS ST,NORTHRIDGE RD \ ROSIE LEE LN,,,,NORTHRIDGE RD \ ROSIE LEE LN intersection,,18021
20081000,INGALLS ST,BEATRICE LN,,,,BEATRICE LN intersection,,18025
20081000,BEATRICE LN,INGALLS ST,,,,INGALLS ST intersection,,6529
20082000,BEATRICE LN,ESPANOLA ST,,,,ESPANOLA ST intersection,,6531
20082000,ESPANOLA ST,BEATRICE LN,,,,BEATRICE LN intersection,,12543
20083000,ESPANOLA ST,MATTHEW CT,,,,MATTHEW CT intersection,,12545
20083000,MATTHEW CT,ESPANOLA ST,,,,ESPANOLA ST intersection,,22511
20084000,ESPANOLA ST,ROSIE LEE LN,,,,ROSIE LEE LN intersection,,12547
20084000,ROSIE LEE LN,ESPANOLA ST,,,,ESPANOLA ST intersection,,28357
20085000,INGALLS ST,HUDSON AVE,,,,HUDSON AVE intersection,,18019
20085000,HUDSON AVE,INGALLS ST,,,,INGALLS ST intersection,,17139
20086000,HARBOR RD,BERTHA LN,,,,BERTHA LN intersection,,16189
20086000,BERTHA LN,HARBOR RD,,,,HARBOR RD intersection,,6764
20087000,BERTHA LN,HUDSON AVE,,,,HUDSON AVE intersection,,6766
20087000,HUDSON AVE,BERTHA LN,,,,BERTHA LN intersection,,17141
20089000,BEATRICE LN,LILLIAN ST,,,,LILLIAN ST intersection,,6533
20089000,LILLIAN ST,BEATRICE LN,,,,BEATRICE LN intersection,,20821
20090000,ROSIE LEE LN,LILLIAN ST,,,,LILLIAN ST intersection,,28359
20090000,LILLIAN ST,ROSIE LEE LN,,,,ROSIE LEE LN intersection,,20823
20092000,EGBERT AVE,ARELIOUS WALKER DR,,,,ARELIOUS WALKER DR intersection,,12165
20092000,ARELIOUS WALKER DR,EGBERT AVE,,,,EGBERT AVE intersection,,5281
20093000,CARROLL AVE,GRIFFITH ST,,,,GRIFFITH ST intersection,,8644
20093000,GRIFFITH ST,CARROLL AVE,,,,CARROLL AVE intersection,,15827
20096000,GRIFFITH ST,GILMAN AVE,,,,GILMAN AVE intersection,,15832
20096000,GILMAN AVE,GRIFFITH ST,,,,GRIFFITH ST intersection,,14958
20097000,GIANTS DR,GILMAN AVE,,,,GILMAN AVE intersection,,14911
20097000,GILMAN AVE,GIANTS DR,,,,GIANTS DR intersection,,14956
20098000,CAMERON WAY,GRIFFITH ST,,,,GRIFFITH ST intersection,,8380
20098000,GRIFFITH ST,CAMERON WAY,,,,CAMERON WAY intersection,,15828
20099000,CAMERON WAY,NICHOLS WAY,,,,NICHOLS WAY intersection,,8386
20099000,NICHOLS WAY,CAMERON WAY,,,,CAMERON WAY intersection,,24437
20100000,CAMERON WAY,NICHOLS WAY,,,,NICHOLS WAY intersection,,8382
20100000,NICHOLS WAY,CAMERON WAY,,,,CAMERON WAY intersection,,24439
20101000,GILROY ST,INGERSON AVE,,,,INGERSON AVE intersection,,14967
20101000,INGERSON AVE,GILROY ST,,,,GILROY ST intersection,,18077
20102000,INGERSON AVE,CORONADO ST,,,,CORONADO ST intersection,,18081
20102000,CORONADO ST,INGERSON AVE,,,,INGERSON AVE intersection,,10368
20103000,INGERSON AVE,GRIFFITH ST,,,,GRIFFITH ST intersection,,18079
20103000,GRIFFITH ST,INGERSON AVE,,,,INGERSON AVE intersection,,15833
20104000,CAMERON WAY,FITZGERALD AVE,,,,FITZGERALD AVE intersection,,8388
20104000,FITZGERALD AVE,CAMERON WAY,,,,CAMERON WAY intersection,,13339
20105000,GRIFFITH ST,FITZGERALD AVE,,,,FITZGERALD AVE intersection,,15830
20105000,FITZGERALD AVE,GRIFFITH ST,,,,GRIFFITH ST intersection,,13337
20107000,FITZGERALD AVE,HAWES ST,,,,HAWES ST intersection,,13341
20107000,HAWES ST,FITZGERALD AVE,,,,FITZGERALD AVE intersection,,16488
20108000,CAMERON WAY,DOUBLE ROCK ST,,,,DOUBLE ROCK ST intersection,,8384
20108000,DOUBLE ROCK ST,CAMERON WAY,,,,CAMERON WAY intersection,,11730
20110000,CARROLL AVE,HAWES ST,,,,HAWES ST intersection,,8646
20110000,HAWES ST,CARROLL AVE,,,,CARROLL AVE intersection,,16482
20111000,HAWES ST,DONNER AVE,,,,DONNER AVE intersection,,16484
20111000,DONNER AVE,HAWES ST,,,,HAWES ST intersection,,11650
20112000,ARMSTRONG AVE,HAWES ST,,,,HAWES ST intersection,,5428
20112000,HAWES ST,ARMSTRONG AVE,,,,ARMSTRONG AVE intersection,,16478
20113000,ARMSTRONG AVE,INGALLS ST,,,,INGALLS ST intersection,,5430
20113000,INGALLS ST,ARMSTRONG AVE,,,,ARMSTRONG AVE intersection,,18051
20114000,BANCROFT AVE,INGALLS ST,,,,INGALLS ST intersection,,6075
20114000,INGALLS ST,BANCROFT AVE,,,,BANCROFT AVE intersection,,18053
20116000,GRIFFITH ST,SHAFTER AVE,,,,SHAFTER AVE intersection,,15818
20116000,SHAFTER AVE,GRIFFITH ST,,,,GRIFFITH ST intersection,,29830
20117000,HAWES ST,QUESADA AVE,,,,QUESADA AVE intersection,,16463
20117000,QUESADA AVE,HAWES ST,,,,HAWES ST intersection,,27447
20118000,HAWES ST,PALOU AVE,,,,PALOU AVE intersection,,16461
20118000,PALOU AVE,HAWES ST,,,,HAWES ST intersection,,25951
20119000,HAWES ST,SHAFTER AVE,,,,SHAFTER AVE intersection,,16467
20119000,SHAFTER AVE,HAWES ST,,,,HAWES ST intersection,,29832
20120000,REVERE AVE,HAWES ST,,,,HAWES ST intersection,,27860
20120000,HAWES ST,REVERE AVE,,,,REVERE AVE intersection,,16465
20121000,THOMAS AVE,HAWES ST,,,,HAWES ST intersection,,31822
20121000,HAWES ST,THOMAS AVE,,,,THOMAS AVE intersection,,16469
20122000,HAWES ST,VAN DYKE AVE,,,,VAN DYKE AVE intersection,,16473
20122000,VAN DYKE AVE,HAWES ST,,,,HAWES ST intersection,,33137
20123000,HAWES ST,UNDERWOOD AVE,,,,UNDERWOOD AVE intersection,,16471
20123000,UNDERWOOD AVE,HAWES ST,,,,HAWES ST intersection,,32436
20124000,INGALLS ST,SHAFTER AVE,,,,SHAFTER AVE intersection,,18039
20124000,SHAFTER AVE,INGALLS ST,,,,INGALLS ST intersection,,29834
20125000,REVERE AVE,INGALLS ST,,,,INGALLS ST intersection,,27862
20125000,INGALLS ST,REVERE AVE,,,,REVERE AVE intersection,,18037
20126000,INGALLS ST,LA SALLE AVE,,,,LA SALLE AVE intersection,,18027
20126000,LA SALLE AVE,INGALLS ST,,,,INGALLS ST intersection,,19842
20127000,GEORGE CT,INGALLS ST,,,,INGALLS ST intersection,,14890
20127000,INGALLS ST,GEORGE CT,,,,GEORGE CT intersection,,18029
20128000,LA SALLE AVE,WHITFIELD CT,,,,WHITFIELD CT intersection,,19844
20128000,WHITFIELD CT,LA SALLE AVE,,,,LA SALLE AVE intersection,,34371
20131000,INGALLS ST,OAKDALE AVE,,,,OAKDALE AVE intersection,,18031
20131000,OAKDALE AVE,INGALLS ST,,,,INGALLS ST intersection,,24811
20132000,OSCEOLA LN,LA SALLE AVE,,,,LA SALLE AVE intersection,,25535
20132000,LA SALLE AVE,OSCEOLA LN,,,,OSCEOLA LN intersection,,19846
20135000,INGALLS ST,QUESADA AVE,,,,QUESADA AVE intersection,,18035
20135000,QUESADA AVE,INGALLS ST,,,,INGALLS ST intersection,,27449
20136000,PALOU AVE,INGALLS ST,,,,INGALLS ST intersection,,25953
20136000,INGALLS ST,PALOU AVE,,,,PALOU AVE intersection,,18033
20137000,GARLINGTON CT,LA SALLE AVE,,,,LA SALLE AVE intersection,,14398
20137000,LA SALLE AVE,GARLINGTON CT,,,,GARLINGTON CT intersection,,19850
20138000,GARLINGTON CT,COMMER CT,,,,COMMER CT intersection,,14400
20138000,COMMER CT,GARLINGTON CT,,,,GARLINGTON CT intersection,,10144
20140000,JENNINGS ST,PALOU AVE,,,,PALOU AVE intersection,,18629
20140000,PALOU AVE,JENNINGS ST,,,,JENNINGS ST intersection,,25955
20142000,INGALLS ST,WALLACE AVE,,,,WALLACE AVE intersection,,18047
20142000,WALLACE AVE,INGALLS ST,,,,INGALLS ST intersection,,33731
20144000,VAN DYKE AVE,INGALLS ST,,,,INGALLS ST intersection,,33139
20144000,INGALLS ST,VAN DYKE AVE,,,,VAN DYKE AVE intersection,,18045
20145000,INGALLS ST,UNDERWOOD AVE,,,,UNDERWOOD AVE intersection,,18043
20145000,UNDERWOOD AVE,INGALLS ST,,,,INGALLS ST intersection,,32438
20146000,THOMAS AVE,INGALLS ST,,,,INGALLS ST intersection,,31824
20146000,INGALLS ST,THOMAS AVE,,,,THOMAS AVE intersection,,18041
20148000,YOSEMITE AVE,INGALLS ST,,,,INGALLS ST intersection,,34814
20148000,INGALLS ST,YOSEMITE AVE,,,,YOSEMITE AVE intersection,,18049
20149000,UNDERWOOD AVE,JENNINGS ST,,,,JENNINGS ST intersection,,32440
20149000,JENNINGS ST,UNDERWOOD AVE,,,,UNDERWOOD AVE intersection,,18639
20150000,THOMAS AVE,JENNINGS ST,,,,JENNINGS ST intersection,,31826
20150000,JENNINGS ST,THOMAS AVE,,,,THOMAS AVE intersection,,18637
20151000,VAN DYKE AVE,JENNINGS ST,,,,JENNINGS ST intersection,,33141
20151000,JENNINGS ST,VAN DYKE AVE,,,,VAN DYKE AVE intersection,,18641
20152000,WALLACE AVE,JENNINGS ST,,,,JENNINGS ST intersection,,33733
20152000,JENNINGS ST,WALLACE AVE,,,,WALLACE AVE intersection,,18643
20153000,QUESADA AVE,JENNINGS ST,,,,JENNINGS ST intersection,,27451
20153000,JENNINGS ST,QUESADA AVE,,,,QUESADA AVE intersection,,18631
20154000,REVERE AVE,JENNINGS ST,,,,JENNINGS ST intersection,,27864
20154000,JENNINGS ST,REVERE AVE,,,,REVERE AVE intersection,,18633
20155000,SHAFTER AVE,JENNINGS ST,,,,JENNINGS ST intersection,,29836
20155000,JENNINGS ST,SHAFTER AVE,,,,SHAFTER AVE intersection,,18635
20156000,OAKDALE AVE,KEITH ST,,,,KEITH ST intersection,,24816
20156000,KEITH ST,OAKDALE AVE,,,,OAKDALE AVE intersection,,19426
20157000,KEITH ST,PALOU AVE,,,,PALOU AVE intersection,,19428
20157000,PALOU AVE,KEITH ST,,,,KEITH ST intersection,,25957
20158000,SHAFTER AVE,KEITH ST,,,,KEITH ST intersection,,29838
20158000,KEITH ST,SHAFTER AVE,,,,SHAFTER AVE intersection,,19434
20159000,REVERE AVE,KEITH ST,,,,KEITH ST intersection,,27866
20159000,KEITH ST,REVERE AVE,,,,REVERE AVE intersection,,19432
20160000,THOMAS AVE,KEITH ST,,,,KEITH ST intersection,,31828
20160000,KEITH ST,THOMAS AVE,,,,THOMAS AVE intersection,,19436
20161000,QUESADA AVE,KEITH ST,,,,KEITH ST intersection,,27453
20161000,KEITH ST,QUESADA AVE,,,,QUESADA AVE intersection,,19430
20162000,HAWES ST,INNES AVE,,,,INNES AVE intersection,,16460
20162000,INNES AVE,HAWES ST,,,,HAWES ST intersection,,18106
20163000,GRIFFITH ST,INNES AVE,,,,INNES AVE intersection,,15795
20163000,INNES AVE,GRIFFITH ST,,,,GRIFFITH ST intersection,,18102
20164000,HAWES ST,HUDSON AVE \ HUNTERS POINT BLVD,,,,HUDSON AVE \ HUNTERS POINT BLVD intersection,,16458
20164000,HUNTERS POINT BLVD,HAWES ST \ HUDSON AVE,,,,HAWES ST \ HUDSON AVE intersection,,17203
20164000,HUDSON AVE,HAWES ST \ HUNTERS POINT BLVD,,,,HAWES ST \ HUNTERS POINT BLVD intersection,,17134
20168000,HARE ST,MIDDLE POINT RD,,,,MIDDLE POINT RD intersection,,16199
20168000,MIDDLE POINT RD,HARE ST,,,,HARE ST intersection,,22893
20170000,MIDDLE POINT RD,WEST POINT RD,,,,WEST POINT RD intersection,,22891
20170000,WEST POINT RD,MIDDLE POINT RD,,,,MIDDLE POINT RD intersection,,34273
20172000,MIDDLE POINT RD,CATALINA ST \ WILLS ST,,,,CATALINA ST \ WILLS ST intersection,,22889
20172000,CATALINA ST,MIDDLE POINT RD \ WILLS ST,,,,MIDDLE POINT RD \ WILLS ST intersection,,8843
20172000,WILLS ST,CATALINA ST \ MIDDLE POINT RD,,,,CATALINA ST \ MIDDLE POINT RD intersection,,34519
20175000,INGALLS ST,INNES AVE \ MIDDLE POINT RD,,,,INNES AVE \ MIDDLE POINT RD intersection,,18015
20175000,MIDDLE POINT RD,INGALLS ST \ INNES AVE,,,,INGALLS ST \ INNES AVE intersection,,22895
20175000,INNES AVE,INGALLS ST \ MIDDLE POINT RD,,,,INGALLS ST \ MIDDLE POINT RD intersection,,18110
20177000,MIDDLE POINT RD,EVANS AVE \ JENNINGS ST,,,,EVANS AVE \ JENNINGS ST intersection,,22885
20177000,EVANS AVE,JENNINGS ST \ MIDDLE POINT RD,,,,JENNINGS ST \ MIDDLE POINT RD intersection,,12697
20177000,JENNINGS ST,EVANS AVE \ MIDDLE POINT RD,,,,EVANS AVE \ MIDDLE POINT RD intersection,,18626
20178000,NEWHALL ST,JENNINGS ST,,,,JENNINGS ST intersection,,24335
20178000,JENNINGS ST,NEWHALL ST,,,,NEWHALL ST intersection,,18624
20180000,MIDDLE POINT RD,ACACIA AVE,,,,ACACIA AVE intersection,,22887
20180000,ACACIA AVE,MIDDLE POINT RD,,,,MIDDLE POINT RD intersection,,4414
20181000,EVANS AVE,KEITH ST,,,,KEITH ST intersection,,12699
20181000,KEITH ST,EVANS AVE,,,,EVANS AVE intersection,,19415
20182000,KEITH ST,FAIRFAX AVE,,,,FAIRFAX AVE intersection,,19417
20182000,FAIRFAX AVE,KEITH ST,,,,KEITH ST intersection,,12849
20185000,HAWKINS LN,ARDATH CT \ HUDSON AVE,,,,ARDATH CT \ HUDSON AVE intersection,,16497
20185000,HUDSON AVE,ARDATH CT \ HAWKINS LN,,,,ARDATH CT \ HAWKINS LN intersection,,17147
20185000,ARDATH CT,HAWKINS LN \ HUDSON AVE,,,,HAWKINS LN \ HUDSON AVE intersection,,5253
20188000,WHITNEY YOUNG CIR,HUDSON AVE,,,,HUDSON AVE intersection,,34408
20188000,HUDSON AVE,WHITNEY YOUNG CIR,,,,WHITNEY YOUNG CIR intersection,,17145
20189000,HUDSON AVE,WESTBROOK CT,,,,WESTBROOK CT intersection,,17149
20189000,WESTBROOK CT,HUDSON AVE,,,,HUDSON AVE intersection,,34299
20191000,CASHMERE ST,HUDSON AVE,,,,HUDSON AVE intersection,,8707
20191000,HUDSON AVE,CASHMERE ST,,,,CASHMERE ST intersection,,17151
20193000,REUEL CT,HUDSON AVE,,,,HUDSON AVE intersection,,27850
20193000,HUDSON AVE,REUEL CT,,,,REUEL CT intersection,,17153
20196000,NEWCOMB AVE,LA SALLE AVE,,,,LA SALLE AVE intersection,,24304
20196000,LA SALLE AVE,NEWCOMB AVE,,,,NEWCOMB AVE intersection,,19852
20197000,NEWCOMB AVE,KEITH ST,,,,KEITH ST intersection,,24307
20197000,KEITH ST,NEWCOMB AVE,,,,NEWCOMB AVE intersection,,19424
20198000,CASHMERE ST,LA SALLE AVE,,,,LA SALLE AVE intersection,,8715
20198000,LA SALLE AVE,CASHMERE ST,,,,CASHMERE ST intersection,,19856
20200000,WHITNEY YOUNG CIR,CASHMERE ST \ DEDMAN CT,,,,CASHMERE ST \ DEDMAN CT intersection,,34390
20200000,CASHMERE ST,DEDMAN CT \ WHITNEY YOUNG CIR,,,,DEDMAN CT \ WHITNEY YOUNG CIR intersection,,8712
20200000,DEDMAN CT,CASHMERE ST \ WHITNEY YOUNG CIR,,,,CASHMERE ST \ WHITNEY YOUNG CIR intersection,,11016
20201000,HUDSON AVE,KEITH ST,,,,KEITH ST intersection,,17155
20201000,KEITH ST,HUDSON AVE,,,,HUDSON AVE intersection,,19423
20203000,EVANS AVE,MENDELL ST,,,,MENDELL ST intersection,,12702
20203000,MENDELL ST,EVANS AVE,,,,EVANS AVE intersection,,22746
20204000,FAIRFAX AVE,MENDELL ST,,,,MENDELL ST intersection,,12853
20204000,MENDELL ST,FAIRFAX AVE,,,,FAIRFAX AVE intersection,,22748
20205000,MCKINNON AVE,LANE ST,,,,LANE ST intersection,,22651
20205000,LANE ST,MCKINNON AVE,,,,MCKINNON AVE intersection,,20231
20207000,DUKES CT,CASHMERE ST,,,,CASHMERE ST intersection,,11860
20207000,CASHMERE ST,DUKES CT,,,,DUKES CT intersection,,8717
20208000,LANE ST,NEWCOMB AVE,,,,NEWCOMB AVE intersection,,20233
20208000,NEWCOMB AVE,LANE ST,,,,LANE ST intersection,,24312
20209000,LANE ST,OAKDALE AVE,,,,OAKDALE AVE intersection,,20235
20209000,OAKDALE AVE,LANE ST,,,,LANE ST intersection,,24818
20210000,LANE ST,PALOU AVE,,,,PALOU AVE intersection,,20237
20210000,PALOU AVE,LANE ST,,,,LANE ST intersection,,25959
20211000,LA SALLE AVE,MENDELL ST,,,,MENDELL ST intersection,,19861
20211000,MENDELL ST,LA SALLE AVE,,,,LA SALLE AVE intersection,,22760
20212000,MCKINNON AVE,MENDELL ST,,,,MENDELL ST intersection,,22653
20212000,MENDELL ST,MCKINNON AVE,,,,MCKINNON AVE intersection,,22762
20213000,03RD ST,MCKINNON AVE,,,,MCKINNON AVE intersection,,264
20213000,MCKINNON AVE,03RD ST,,,,03RD ST intersection,,22655
20215000,MENDELL ST,HUDSON AVE,,,,HUDSON AVE intersection,,22752
20215000,HUDSON AVE,MENDELL ST,,,,MENDELL ST intersection,,17157
20216000,INNES AVE,MENDELL ST,,,,MENDELL ST intersection,,18113
20216000,MENDELL ST,INNES AVE,,,,INNES AVE intersection,,22754
20218000,MENDELL ST,JERROLD AVE,,,,JERROLD AVE intersection,,22756
20218000,JERROLD AVE,MENDELL ST,,,,MENDELL ST intersection,,18678
20219000,03RD ST,JERROLD AVE \ NEWHALL ST,,,,JERROLD AVE \ NEWHALL ST intersection,,255
20219000,NEWHALL ST,03RD ST \ JERROLD AVE,,,,03RD ST \ JERROLD AVE intersection,,24353
20219000,JERROLD AVE,03RD ST \ NEWHALL ST,,,,03RD ST \ NEWHALL ST intersection,,18680
20220000,GALVEZ AVE,MENDELL ST,,,,MENDELL ST intersection,,14310
20220000,MENDELL ST,GALVEZ AVE,,,,GALVEZ AVE intersection,,22750
20222000,KIRKWOOD AVE,MENDELL ST,,,,MENDELL ST intersection,,19722
20222000,MENDELL ST,KIRKWOOD AVE,,,,KIRKWOOD AVE intersection,,22758
20223000,KIRKWOOD AVE,03RD ST,,,,03RD ST intersection,,19724
20223000,03RD ST,KIRKWOOD AVE,,,,KIRKWOOD AVE intersection,,258
20224000,LA SALLE AVE,03RD ST,,,,03RD ST intersection,,19864
20224000,03RD ST,LA SALLE AVE,,,,LA SALLE AVE intersection,,261
20225000,NEWHALL ST,GALVEZ AVE,,,,GALVEZ AVE intersection,,24346
20225000,GALVEZ AVE,NEWHALL ST,,,,NEWHALL ST intersection,,14312
20226000,NEWHALL ST,HUDSON AVE,,,,HUDSON AVE intersection,,24348
20226000,HUDSON AVE,NEWHALL ST,,,,NEWHALL ST intersection,,17159
20227000,03RD ST,HUDSON AVE,,,,HUDSON AVE intersection,,247
20227000,HUDSON AVE,03RD ST,,,,03RD ST intersection,,17161
20228000,INNES AVE,NEWHALL ST,,,,NEWHALL ST intersection,,18116
20228000,NEWHALL ST,INNES AVE,,,,INNES AVE intersection,,24350
20229000,INNES AVE,03RD ST,,,,03RD ST intersection,,18118
20229000,03RD ST,INNES AVE,,,,INNES AVE intersection,,250
20230000,03RD ST,NEWHALL ST,,,,NEWHALL ST intersection,,253
20230000,NEWHALL ST,03RD ST,,,,03RD ST intersection,,24352
20231000,03RD ST,GALVEZ AVE,,,,GALVEZ AVE intersection,,244
20231000,GALVEZ AVE,03RD ST,,,,03RD ST intersection,,14314
20232000,MENDELL ST,NEWHALL ST,,,,NEWHALL ST intersection,,22744
20232000,NEWHALL ST,MENDELL ST,,,,MENDELL ST intersection,,24340
20234000,BURKE AVE,03RD ST,,,,03RD ST intersection,,7810
20234000,03RD ST,BURKE AVE,,,,BURKE AVE intersection,,228
20236000,EVANS AVE,NEWHALL ST,,,,NEWHALL ST intersection,,12705
20236000,NEWHALL ST,EVANS AVE,,,,EVANS AVE intersection,,24342
20237000,FAIRFAX AVE,NEWHALL ST,,,,NEWHALL ST intersection,,12855
20237000,NEWHALL ST,FAIRFAX AVE,,,,FAIRFAX AVE intersection,,24344
20238000,03RD ST,FAIRFAX AVE,,,,FAIRFAX AVE intersection,,241
20238000,FAIRFAX AVE,03RD ST,,,,03RD ST intersection,,12856
20239000,03RD ST,EVANS AVE,,,,EVANS AVE intersection,,239
20239000,EVANS AVE,03RD ST,,,,03RD ST intersection,,12708
20240000,03RD ST,CUSTER AVE,,,,CUSTER AVE intersection,,231
20240000,CUSTER AVE,03RD ST,,,,03RD ST intersection,,10744
20241000,EVANS AVE,PHELPS ST,,,,PHELPS ST intersection,,12711
20241000,PHELPS ST,EVANS AVE,,,,EVANS AVE intersection,,26413
20242000,PHELPS ST,FAIRFAX AVE,,,,FAIRFAX AVE intersection,,26415
20242000,FAIRFAX AVE,PHELPS ST,,,,PHELPS ST intersection,,12858
20243000,PHELPS ST,GALVEZ AVE,,,,GALVEZ AVE intersection,,26417
20243000,GALVEZ AVE,PHELPS ST,,,,PHELPS ST intersection,,14316
20244000,DAVIDSON AVE,03RD ST,,,,03RD ST intersection,,10865
20244000,03RD ST,DAVIDSON AVE,,,,DAVIDSON AVE intersection,,234
20245000,03RD ST,PHELPS ST,,,,PHELPS ST intersection,,236
20245000,PHELPS ST,03RD ST,,,,03RD ST intersection,,26409
20246000,PHELPS ST,DAVIDSON AVE,,,,DAVIDSON AVE intersection,,26411
20246000,DAVIDSON AVE,PHELPS ST,,,,PHELPS ST intersection,,10867
20247000,CARGO WAY,03RD ST \ ARTHUR AVE,,,,03RD ST \ ARTHUR AVE intersection,,8546
20247000,ARTHUR AVE,03RD ST \ CARGO WAY,,,,03RD ST \ CARGO WAY intersection,,5453
20247000,03RD ST,ARTHUR AVE \ CARGO WAY,,,,ARTHUR AVE \ CARGO WAY intersection,,225
20250000,MARIN ST,03RD ST,,,,03RD ST intersection,,21915
20250000,03RD ST,MARIN ST,,,,MARIN ST intersection,,223
20252000,CUSTER AVE,QUINT ST,,,,QUINT ST intersection,,10746
20252000,QUINT ST,CUSTER AVE,,,,CUSTER AVE intersection,,27488
20257000,THOMAS MELLON DR,ALANA WAY \ HARNEY WAY,,,,ALANA WAY \ HARNEY WAY intersection,,31853
20257000,ALANA WAY,HARNEY WAY \ THOMAS MELLON DR,,,,HARNEY WAY \ THOMAS MELLON DR intersection,,4560
