CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder
21439000,NEWTON ST,MORSE ST,,,,MORSE ST intersection,,24394
21440000,MORSE ST,UNNAMED 071,,,,UNNAMED 071 intersection,,23884
21440000,UNNAMED 071,MORSE ST,,,,MORSE ST intersection,,32674
21441000,MADRID ST,GENEVA AVE,,,,GENEVA AVE intersection,,21658
21441000,GENEVA AVE,MADRID ST,,,,MADRID ST intersection,,14826
21442000,GENEVA AVE,LISBON ST,,,,LISBON ST intersection,,14823
21442000,LISBON ST,GENEVA AVE,,,,GENEVA AVE intersection,,21140
21443000,AMAZON AVE,LISBON ST,,,,LISBON ST intersection,,4885
21443000,LISBON ST,AMAZON AVE,,,,AMAZON AVE intersection,,21138
21444000,GENEVA AVE,PARIS ST,,,,PARIS ST intersection,,14820
21444000,PARIS ST,GENEVA AVE,,,,GENEVA AVE intersection,,26038
21447000,POPE ST,BALTIMORE WAY,,,,BALTIMORE WAY intersection,,26871
21447000,BALTIMORE WAY,POPE ST,,,,POPE ST intersection,,6064
21449000,ALLISON ST,HANOVER ST,,,,HANOVER ST intersection,,4763
21449000,HANOVER ST,ALLISON ST,,,,ALLISON ST intersection,,16172
21452000,POPE ST,PRAGUE ST \ WINDING WAY,,,,PRAGUE ST \ WINDING WAY intersection,,26869
21452000,WINDING WAY,POPE ST \ PRAGUE ST,,,,POPE ST \ PRAGUE ST intersection,,34540
21452000,PRAGUE ST,POPE ST \ WINDING WAY,,,,POPE ST \ WINDING WAY intersection,,27252
21453000,BRUNSWICK ST,POPE ST,,,,POPE ST intersection,,7512
21453000,POPE ST,BRUNSWICK ST,,,,BRUNSWICK ST intersection,,26865
21454000,BRUNSWICK ST,ALLISON ST,,,,ALLISON ST intersection,,7516
21454000,ALLISON ST,BRUNSWICK ST,,,,BRUNSWICK ST intersection,,4761
21456000,WATT AVE,KNOTT CT,,,,KNOTT CT intersection,,33993
21456000,KNOTT CT,WATT AVE,,,,WATT AVE intersection,,19761
21457000,WATT AVE,HANOVER ST,,,,HANOVER ST intersection,,33991
21457000,HANOVER ST,WATT AVE,,,,WATT AVE intersection,,16176
21459000,CONCORD ST,PRETOR WAY,,,,PRETOR WAY intersection,,10172
21459000,PRETOR WAY,CONCORD ST,,,,CONCORD ST intersection,,27355
21460000,CONCORD ST,HANOVER ST,,,,HANOVER ST intersection,,10174
21460000,HANOVER ST,CONCORD ST,,,,CONCORD ST intersection,,16178
21461000,HANOVER ST,GUTTENBERG ST,,,,GUTTENBERG ST intersection,,16180
21461000,GUTTENBERG ST,HANOVER ST,,,,HANOVER ST intersection,,15978
21465000,GUTTENBERG ST,PRETOR WAY,,,,PRETOR WAY intersection,,15976
21465000,PRETOR WAY,GUTTENBERG ST,,,,GUTTENBERG ST intersection,,27357
21466000,BRUNSWICK ST,CONCORD ST,,,,CONCORD ST intersection,,7520
21466000,CONCORD ST,BRUNSWICK ST,,,,BRUNSWICK ST intersection,,10170
21467000,ALLISON ST,MORSE ST,,,,MORSE ST intersection,,4759
21467000,MORSE ST,ALLISON ST,,,,ALLISON ST intersection,,23894
21468000,FLORENTINE AVE,BRUNSWICK ST,,,,BRUNSWICK ST intersection,,13386
21468000,BRUNSWICK ST,FLORENTINE AVE,,,,FLORENTINE AVE intersection,,7522
21469000,CURTIS ST,ROLPH ST,,,,ROLPH ST intersection,,10727
21469000,ROLPH ST,CURTIS ST,,,,CURTIS ST intersection,,28234
21470000,CURTIS ST,MORSE ST,,,,MORSE ST intersection,,10729
21470000,MORSE ST,CURTIS ST,,,,CURTIS ST intersection,,23886
21471000,MORSE ST,POPE ST,,,,POPE ST intersection,,23890
21471000,POPE ST,MORSE ST,,,,MORSE ST intersection,,26863
21472000,CROSS ST,POPE ST,,,,POPE ST intersection,,10671
21472000,POPE ST,CROSS ST,,,,CROSS ST intersection,,26861
21473000,NEWTON ST,ROLPH ST,,,,ROLPH ST intersection,,24392
21473000,ROLPH ST,NEWTON ST,,,,NEWTON ST intersection,,28238
21474000,PARIS ST,AMAZON AVE,,,,AMAZON AVE intersection,,26036
21474000,AMAZON AVE,PARIS ST,,,,PARIS ST intersection,,4883
21475000,GENEVA AVE,LONDON ST,,,,LONDON ST intersection,,14817
21475000,LONDON ST,GENEVA AVE,,,,GENEVA AVE intersection,,21321
21476000,ROLPH ST,PARIS ST,,,,PARIS ST intersection,,28236
21476000,PARIS ST,ROLPH ST,,,,ROLPH ST intersection,,26040
21477000,ALLISON ST,CROSS ST,,,,CROSS ST intersection,,4757
21477000,CROSS ST,ALLISON ST,,,,ALLISON ST intersection,,10673
21478000,CONCORD ST,MORSE ST,,,,MORSE ST intersection,,10168
21478000,MORSE ST,CONCORD ST,,,,CONCORD ST intersection,,23898
21479000,CONCORD ST,CROSS ST,,,,CROSS ST intersection,,10166
21479000,CROSS ST,CONCORD ST,,,,CONCORD ST intersection,,10675
21480000,MISSION ST,ALLISON ST,,,,ALLISON ST intersection,,23363
21480000,ALLISON ST,MISSION ST,,,,MISSION ST intersection,,4755
21481000,POPE ST,HOLLYWOOD CT,,,,HOLLYWOOD CT intersection,,26859
21481000,HOLLYWOOD CT,POPE ST,,,,POPE ST intersection,,16998
21483000,MISSION ST,POPE ST,,,,POPE ST intersection,,23361
21483000,POPE ST,MISSION ST,,,,MISSION ST intersection,,26857
21484000,MISSION ST,NIAGARA AVE,,,,NIAGARA AVE intersection,,23359
21484000,NIAGARA AVE,MISSION ST,,,,MISSION ST intersection,,24406
21485000,ROLPH ST,MISSION ST,,,,MISSION ST intersection,,28232
21485000,MISSION ST,ROLPH ST,,,,ROLPH ST intersection,,23357
21486000,MISSION ST,GENEVA AVE,,,,GENEVA AVE intersection,,23355
21486000,GENEVA AVE,MISSION ST,,,,MISSION ST intersection,,14814
21487000,ALEMANY BLVD,NIAGARA AVE,,,,NIAGARA AVE intersection,,4660
21487000,NIAGARA AVE,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,24408
21488000,MISSION ST,CONCORD ST,,,,CONCORD ST intersection,,23367
21488000,CONCORD ST,MISSION ST,,,,MISSION ST intersection,,10164
21489000,MISSION ST,MOUNT VERNON AVE,,,,MOUNT VERNON AVE intersection,,23365
21489000,MOUNT VERNON AVE,MISSION ST,,,,MISSION ST intersection,,23969
21491000,LOWELL ST,BYRON CT,,,,BYRON CT intersection,,21399
21491000,BYRON CT,LOWELL ST,,,,LOWELL ST intersection,,8003
21493000,HANOVER ST,LOWELL ST,,,,LOWELL ST intersection,,16182
21493000,LOWELL ST,HANOVER ST,,,,HANOVER ST intersection,,21401
21494000,GUTTENBERG ST,BRUNSWICK ST,,,,BRUNSWICK ST intersection,,15974
21494000,BRUNSWICK ST,GUTTENBERG ST,,,,GUTTENBERG ST intersection,,7524
21495000,MORSE ST,GUTTENBERG ST,,,,GUTTENBERG ST intersection,,23904
21495000,GUTTENBERG ST,MORSE ST,,,,MORSE ST intersection,,15972
21496000,GUTTENBERG ST,MISSION ST,,,,MISSION ST intersection,,15970
21496000,MISSION ST,GUTTENBERG ST,,,,GUTTENBERG ST intersection,,23373
21497000,BRUNSWICK ST,LOWELL ST,,,,LOWELL ST intersection,,7526
21497000,LOWELL ST,BRUNSWICK ST,,,,BRUNSWICK ST intersection,,21397
21499000,ROEMER WAY,BRUNSWICK ST,,,,BRUNSWICK ST intersection,,28229
21499000,BRUNSWICK ST,ROEMER WAY,,,,ROEMER WAY intersection,,7528
21500000,BRUNSWICK ST,WHITTIER ST,,,,WHITTIER ST intersection,,7530
21500000,WHITTIER ST,BRUNSWICK ST,,,,BRUNSWICK ST intersection,,34415
21501000,LOWELL ST,MORSE ST,,,,MORSE ST intersection,,21395
21501000,MORSE ST,LOWELL ST,,,,LOWELL ST intersection,,23906
21502000,MISSION ST,LOWELL ST,,,,LOWELL ST intersection,,23379
21502000,LOWELL ST,MISSION ST,,,,MISSION ST intersection,,21393
21503000,ELLINGTON AVE,NAGLEE AVE,,,,NAGLEE AVE intersection,,12297
