100000,01ST ST,30731000,24666000
1000000,20TH AVE,27507000,27505000
10000101,ORTEGA ST,27113000,32873000
10000102,ORTEGA ST,32873000,27132000
10000201,ORTEGA ST,27113000,32870000
10000202,ORTEGA ST,32870000,32871000
10000203,ORTEGA ST,32871000,27132000
10001000,ORTEGA WAY,27123000,27308000
10002000,ORTEGA ST,27308000,27310000
10003000,ORTEGA ST,27310000,27315000
10004000,ORTEGA ST,27315000,27317000
10005000,ORTEGA ST,27317000,27318000
10008000,ORTEGA ST,27334000,27337000
10009000,ORTEGA ST,27337000,27338000
1001000,20TH AVE,27505000,27499000
10010000,ORTEGA ST,27338000,27379000
10011000,ORTEGA ST,27379000,27380000
10012000,ORTEGA ST,27380000,27383000
10013000,ORTEGA ST,27383000,27393000
10014000,ORTEGA ST,27393000,27395000
10015000,ORTEGA ST,27395000,27397000
10016000,ORTEGA ST,27397000,27398000
10017000,ORTEGA ST,27398000,27673000
10018000,ORTEGA ST,27673000,27674000
10019000,ORTEGA ST,27674000,27677000
1002000,20TH AVE,27499000,27497000
10020000,ORTEGA ST,27677000,27678000
10021000,ORTEGA ST,27678000,27689000
10022000,ORTEGA ST,27689000,27690000
10023000,ORTEGA ST,27690000,27693000
10024000,ORTEGA ST,27693000,27694000
10025000,ORTEGA ST,27694000,27695000
10026000,ORTEGA ST,27695000,27748000
10027000,ORTEGA ST,27748000,27750000
10028000,ORTEGA ST,27750000,27754000
10029000,ORTEGA ST,27754000,27753000
1003000,20TH AVE,27497000,27471000
10030000,ORTEGA ST,27753000,27764000
10031000,ORTEGA ST,27764000,27765000
10032000,ORTEGA ST,27765000,27768000
10033000,ORTEGA ST,27768000,27769000
10034000,ORTEGA ST,27769000,27921000
10035000,ORTEGA ST,27921000,27922000
10036000,ORTEGA ST,27922000,27925000
10037000,ORTEGA ST,27925000,27926000
10038000,OSAGE ALY,50705000,24089000
10039000,OSAGE ALY,24089000,24085000
1004000,20TH AVE,27471000,27470000
10040000,OSAGE ALY,24085000,24086000
10042000,OSCEOLA LN,20132000,33144000
10043000,OSGOOD PL,24761000,24763000
10044000,OTEGA AVE,22167000,22168000
10045000,OTEGA AVE,22168000,22169000
10046000,OTIS ST,24388000,24393000
10047000,OTIS ST,24393000,24390000
10048000,OTIS ST,24390000,33027000
10049000,OTSEGO AVE,22109000,22108000
1005000,20TH AVE,27377000,27375000
10050000,OTSEGO AVE,22108000,22073000
10051000,OTSEGO AVE,22073000,22072000
10052000,OTSEGO AVE,22072000,22070000
10053000,OTSEGO AVE,22070000,22076000
10054000,OTSEGO AVE,22076000,22075000
10055000,OTTAWA AVE,21510000,21509000
10056000,OTTAWA AVE,21509000,21515000
10057000,OTTAWA AVE,21515000,21523000
10058000,OTTAWA AVE,21523000,21522000
10059000,OTTAWA AVE,21522000,21528000
10060000,OTTAWA AVE,21528000,21529000
10061000,OTTAWA AVE,21529000,22165000
10062000,OTTAWA AVE,22165000,22169000
10063000,OVERLOOK DR,27465000,27466000
10065000,OXFORD ST,21000000,20984000
10066000,OXFORD ST,20984000,20983000
10067000,OXFORD ST,20983000,20980000
10068000,OXFORD ST,20980000,20978000
10069000,OXFORD ST,20978000,20944000
10070000,OXFORD ST,20944000,20943000
10071000,PACHECO ST,22851000,32998000
10072000,PACHECO ST,32997000,33596000
10073000,PACHECO ST,33596000,22885000
10076000,PACHECO ST,22892000,22894000
10077000,PACHECO ST,22894000,22896000
10078000,PACHECO ST,22896000,22895000
10079000,PACHECO ST,22895000,22899000
1008000,20TH AVE,27367000,27345000
10080101,PACHECO ST,22899000,33588000
10080102,PACHECO ST,33588000,22898000
10080201,PACHECO ST,22899000,32987000
10080202,PACHECO ST,32987000,22898000
10081000,PACHECO ST,22898000,27040000
10082000,PACHECO ST,27040000,27089000
10083000,PACHECO ST,27089000,27094000
10084000,PACHECO ST,27094000,32882000
10087000,PACHECO ST,27116000,27122000
10088000,PACHECO ST,27122000,27131000
10089000,PACHECO ST,27123000,27307000
1009000,20TH AVE,27345000,27342000
10090000,PACHECO ST,27307000,27309000
10093000,PACHECO ST,27313000,27316000
10094000,PACHECO ST,27316000,23205000
10095000,PACHECO ST,23205000,23207000
10096000,PACHECO ST,23207000,23212000
10097000,PACHECO ST,23212000,23213000
